12-01-2023 6:59:18 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 6:59:18 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 6:59:18 | ::1 | data => [9] 
12-01-2023 6:59:18 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:00:17 | ::1 | Yest 
12-01-2023 7:00:20 | ::1 | Yest 
12-01-2023 7:00:47 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:00:47 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:00:47 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 7:00:47 | ::1 | data => [9] 
12-01-2023 7:04:01 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:04:01 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:04:01 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 7:04:01 | ::1 | data => [8] 
12-01-2023 7:04:01 | ::1 | json encoded! 
12-01-2023 7:04:39 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:04:39 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:04:39 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 7:04:39 | ::1 | data => [7] 
12-01-2023 7:04:39 | ::1 | json encoded! 
12-01-2023 7:05:51 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:05:51 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:05:51 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 7:05:51 | ::1 | data => [7] 
12-01-2023 7:05:51 | ::1 | json encoded! 
12-01-2023 7:06:29 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:06:29 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:06:29 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 7:06:29 | ::1 | data => [8] 
12-01-2023 7:06:29 | ::1 | json encoded! 
12-01-2023 7:06:29 | ::1 | json ecnode: => ['8'] 
12-01-2023 7:07:05 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:07:05 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:07:05 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 7:07:05 | ::1 | data => [NULL] 
12-01-2023 7:07:05 | ::1 | json encoded! 
12-01-2023 7:07:05 | ::1 | json ecnode: => ['9'] 
12-01-2023 7:07:49 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:07:49 | ::1 | inside executeHandler - ajax controller.php 
12-01-2023 7:07:49 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 7:07:49 | ::1 | data => [10] 
12-01-2023 7:07:49 | ::1 | 10 
12-01-2023 7:07:49 | ::1 | json encoded! 
12-01-2023 7:07:49 | ::1 | json ecnode: => ['10'] 
12-01-2023 7:08:52 | ::1 | executeHandler complete - ajax controller.php 
12-01-2023 7:08:52 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 7:08:52 | ::1 | data => [10] 
12-01-2023 7:08:52 | ::1 | 10 
12-01-2023 7:08:52 | ::1 | json encoded! 
12-01-2023 7:08:52 | ::1 | json ecnode: => ['10'] 
12-01-2023 7:08:52 | ::1 | executeHandler complete - ajax controller.php 
12-01-2023 7:09:45 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 7:09:45 | ::1 | data => [9] 
12-01-2023 7:09:45 | ::1 | 9 
12-01-2023 7:09:45 | ::1 | json encoded! 
12-01-2023 7:09:45 | ::1 | json ecnode: => ['9'] 
12-01-2023 7:10:30 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 7:10:30 | ::1 | data => [8] 
12-01-2023 7:10:30 | ::1 | 8 
12-01-2023 7:10:30 | ::1 | json encoded! 
12-01-2023 7:10:30 | ::1 | json ecnode: => ['8'] 
12-01-2023 7:13:50 | ::1 | ja 
12-01-2023 7:13:50 | ::1 | ja 
12-01-2023 7:13:50 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 7:13:50 | ::1 | data => [7] 
12-01-2023 7:13:50 | ::1 | 7 
12-01-2023 7:13:50 | ::1 | json encoded! 
12-01-2023 7:13:50 | ::1 | json ecnode: => ['7'] 
12-01-2023 7:14:31 | ::1 | inside sendData - get_rating_info.php 
12-01-2023 7:14:31 | ::1 | data => [7] 
12-01-2023 7:14:31 | ::1 | 7 
12-01-2023 7:14:31 | ::1 | json encoded! 
12-01-2023 7:14:31 | ::1 | json ecnode: => ['7'] 
12-01-2023 7:45:27 | ::1 | inside api.controller.php 
