10-01-2023 14:20:33 | ::1 | test 
10-01-2023 14:21:08 | ::1 | komen we hier 
10-01-2023 14:21:08 | ::1 | komen we hier 
10-01-2023 14:21:08 | ::1 | komen we hier 
10-01-2023 14:21:42 | ::1 | komen we hier 
10-01-2023 14:21:42 | ::1 | komen we hier 
10-01-2023 14:21:42 | ::1 | komen we hier 
10-01-2023 14:22:29 | ::1 | ja 
10-01-2023 14:22:29 | ::1 | ja 
10-01-2023 14:22:29 | ::1 | ja 
10-01-2023 14:22:39 | ::1 | set_rating 
10-01-2023 14:22:39 | ::1 | get_avg_rating 
10-01-2023 14:22:39 | ::1 | get_total_ratings 
