11-01-2023 8:40:48 | ::1 | Y 
11-01-2023 8:40:48 | ::1 | Y 
11-01-2023 8:40:48 | ::1 | Y 
11-01-2023 8:41:20 | ::1 | 1 
11-01-2023 8:41:20 | ::1 | 1 
11-01-2023 8:41:20 | ::1 | 1 
11-01-2023 8:41:50 | ::1 | 1 
11-01-2023 8:41:50 | ::1 | 1 
11-01-2023 8:41:50 | ::1 | 1 
11-01-2023 8:42:16 | ::1 | 1 
11-01-2023 8:42:16 | ::1 | get_avg_rating 
11-01-2023 8:42:16 | ::1 | 1 
11-01-2023 8:42:16 | ::1 | set_rating 
11-01-2023 8:42:16 | ::1 | 2 
11-01-2023 8:42:16 | ::1 | 1 
11-01-2023 8:42:16 | ::1 | get_total_ratings 
11-01-2023 8:42:40 | ::1 | 1 
11-01-2023 8:42:40 | ::1 | get_avg_rating 
11-01-2023 8:42:40 | ::1 | 1 
11-01-2023 8:42:40 | ::1 | get_total_ratings 
11-01-2023 8:42:40 | ::1 | 1 
11-01-2023 8:42:40 | ::1 | set_rating 
11-01-2023 8:42:40 | ::1 | 2 
11-01-2023 8:45:57 | ::1 | 1 
11-01-2023 8:45:57 | ::1 | 2 
11-01-2023 8:45:57 | ::1 | 1 
11-01-2023 8:45:57 | ::1 | 4 
11-01-2023 8:45:57 | ::1 | 1 
11-01-2023 8:45:57 | ::1 | 3 
11-01-2023 8:49:35 | ::1 | yes sir 
11-01-2023 8:50:51 | ::1 | in set_rating.php 
11-01-2023 8:52:55 | ::1 | in set_rating.php 
11-01-2023 8:52:55 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 9:05:03 | ::1 | Inside SetRating 
11-01-2023 9:07:19 | ::1 | Func => ['set_rating'] 
11-01-2023 9:17:57 | ::1 | Y. 
11-01-2023 9:17:57 | ::1 | Y. 
11-01-2023 9:17:57 | ::1 | Y. 
11-01-2023 9:18:17 | ::1 | func => ['set_rating'] 
11-01-2023 9:18:17 | ::1 | func => ['get_avg_rating'] 
11-01-2023 9:18:17 | ::1 | func => ['get_total_ratings'] 
11-01-2023 11:39:22 | ::1 | inside ajax handlerequest 
11-01-2023 11:39:22 | ::1 | inside ajax handlerequest 
11-01-2023 11:39:22 | ::1 | inside ajax handlerequest 
11-01-2023 11:40:25 | ::1 | inside ajax handlerequest 
11-01-2023 11:40:25 | ::1 | func: => ['set_rating'] 
11-01-2023 11:40:25 | ::1 | inside ajax handlerequest 
11-01-2023 11:40:25 | ::1 | func: => ['get_total_ratings'] 
11-01-2023 11:40:25 | ::1 | inside ajax handlerequest 
11-01-2023 11:40:25 | ::1 | func: => ['get_avg_rating'] 
11-01-2023 11:41:18 | ::1 | inside ajax handlerequest 
11-01-2023 11:41:18 | ::1 | func: => ['rate_product'] 
11-01-2023 11:41:18 | ::1 | inside ajax handlerequest 
11-01-2023 11:41:18 | ::1 | func: => ['rate_product'] 
11-01-2023 11:41:18 | ::1 | inside ajax handlerequest 
11-01-2023 11:41:18 | ::1 | func: => ['rate_product'] 
11-01-2023 11:41:53 | ::1 | inside create handler 
11-01-2023 11:41:53 | ::1 | inside create handler 
11-01-2023 11:41:53 | ::1 | inside create handler 
11-01-2023 11:42:16 | ::1 | inside rate_product 
